2026-04-29 23:12:32 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 579
2026-04-29 23:12:32 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 580
2026-04-29 23:14:03 - PHP Notice:  Undefined index: product_ids in /var/www/html/admin/model/extension/module/customer_segment.php on line 677
2026-04-29 23:14:03 - PHP Notice:  Undefined index: discount_on in /var/www/html/admin/model/extension/module/customer_segment.php on line 680
2026-04-29 23:14:03 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 682
2026-04-29 23:14:03 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 683
2026-04-29 23:14:07 - PHP Notice:  Undefined index: product_ids in /var/www/html/admin/model/extension/module/customer_segment.php on line 677
2026-04-29 23:14:07 - PHP Notice:  Undefined index: discount_on in /var/www/html/admin/model/extension/module/customer_segment.php on line 680
2026-04-29 23:14:07 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 682
2026-04-29 23:14:07 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 683
2026-04-30 10:11:29 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777547489): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 10:12:33 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 580
2026-04-30 10:12:33 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 581
2026-04-30 10:12:33 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 582
2026-04-30 10:12:33 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 583
2026-04-30 10:12:34 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 580
2026-04-30 10:12:34 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 581
2026-04-30 10:12:34 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 582
2026-04-30 10:12:34 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 583
2026-04-30 10:29:22 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777548561 in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 10:29:22 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 10:29:22 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777548562 in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 10:29:22 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 10:32:59 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777548778): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 10:32:59 - PHP Warning:  fopen(/var/www/html/system/storage/cache/cache.store.1777548779): failed to open stream: No such file or directory in /var/www/html/system/library/cache/file.php on line 28
2026-04-30 10:32:59 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 30
2026-04-30 10:32:59 - PHP Warning:  fread() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 10:32:59 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 34
2026-04-30 10:32:59 - PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 36
2026-04-30 10:33:46 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 583
2026-04-30 10:33:46 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 584
2026-04-30 10:33:46 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 585
2026-04-30 10:33:46 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 586
2026-04-30 10:48:14 - PHP Warning:  fopen(/var/www/html/system/storage/cache/cache.store.1777549693): failed to open stream: No such file or directory in /var/www/html/system/library/cache/file.php on line 28
2026-04-30 10:48:14 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 30
2026-04-30 10:48:14 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777549693 in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 10:48:14 - PHP Warning:  fread() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 10:48:14 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 34
2026-04-30 10:48:14 - PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 36
2026-04-30 10:48:36 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 583
2026-04-30 10:48:36 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 584
2026-04-30 10:48:36 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 585
2026-04-30 10:48:36 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 586
2026-04-30 10:49:10 - PHP Notice:  Undefined index: date_start in /var/www/html/admin/model/extension/module/customer_segment.php on line 583
2026-04-30 10:49:10 - PHP Notice:  Undefined index: date_end in /var/www/html/admin/model/extension/module/customer_segment.php on line 584
2026-04-30 10:49:10 - PHP Notice:  Undefined index: uses_total in /var/www/html/admin/model/extension/module/customer_segment.php on line 585
2026-04-30 10:49:10 - PHP Notice:  Undefined index: uses_customer in /var/www/html/admin/model/extension/module/customer_segment.php on line 586
2026-04-30 10:50:59 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777549858): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 10:50:59 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777549859): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 11:01:40 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777550499): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 11:06:06 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777550765): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 11:06:08 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777550767): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 11:06:09 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777550769): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 13:13:23 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:23 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:23 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:23 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:23 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:23 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:28 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:28 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:28 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:28 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:28 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:28 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:13:34 - CustomerSegment Event: hit for route catalog/product/getProducts
2026-04-30 13:16:30 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:30 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:30 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:30 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:30 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:30 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:35 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:35 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:35 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:35 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:35 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:35 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:37 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:37 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:37 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:37 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:37 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:16:37 - CustomerSegment Event: hit for route catalog/product/getProduct
2026-04-30 13:18:01 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777558681 in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 13:18:01 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-30 13:18:01 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777558681): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 13:18:01 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777558681): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-30 13:18:01 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777558681): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
